"Product","Blackbox flight data recorder by Nicholas Sherlock"
4,13434298,-12,0,0,10000,1521,300,5,6,3,-1,4,4,-6,104,-2047,-184,-28,-1870,159,158,158,158,-5519,124,162,-5962,3,3,2,8127,0,0,0,-2,0,0,-2,-1,-1,0,0,0,0,0,0,-3,-2,-1,4,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,264,259,268,271,0,0,0,0,265,260,268,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
8,13436314,-12,0,0,10000,1521,300,-1,5,5,-4,-11,11,-2,89,-2039,297,216,-1727,159,158,159,158,-5519,124,162,-5962,1,4,2,8127,0,0,0,-2,0,0,0,-1,-1,0,0,0,0,0,0,0,-2,-2,3,0,2,1,0,0,0,0,2,2,1,1,0,0,0,0,264,259,268,271,0,0,0,0,265,260,269,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
12,13438330,-12,0,0,10000,1521,300,1,2,-3,2,6,-11,10,87,-2034,-162,-63,-2034,159,158,158,158,-5519,124,162,-5962,0,2,1,8127,0,0,0,-2,0,0,-1,0,1,0,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,264,259,268,271,0,0,0,0,263,259,268,269,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
16,13440346,-12,0,0,10000,1521,300,1,2,1,2,3,2,11,82,-2041,201,317,-1778,159,158,158,158,-5519,124,162,-5962,0,2,1,8127,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,2,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,265,262,268,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
20,13442362,-12,0,0,10000,1521,300,8,-7,-3,10,4,-6,15,94,-2046,-199,14,-2001,158,160,158,158,-5519,124,162,-5962,1,-1,0,8127,0,0,0,-2,0,0,-2,2,1,0,0,0,0,0,0,-4,3,1,0,5,0,0,0,0,0,0,2,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,263,257,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
24,13444378,-12,0,0,10000,1521,300,7,-6,-4,14,-18,-5,1,102,-2043,189,67,-1985,158,160,158,158,-5519,124,162,-5962,1,-1,-1,8127,0,0,0,-2,0,0,-2,1,1,0,0,0,0,0,0,-4,2,2,1,5,0,1,0,0,0,0,2,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,263,260,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
28,13446394,-12,0,0,10000,1521,300,15,-6,-4,25,-2,-6,-11,111,-2036,-110,21,-2046,159,161,158,158,-5519,124,162,-5962,2,-3,-1,8127,0,0,0,-2,0,0,-4,1,1,0,0,0,0,0,0,-7,2,2,3,7,0,1,0,0,0,0,2,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,265,260,268,268,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
32,13448410,-12,0,0,10000,1521,300,10,1,-3,8,1,-2,-26,121,-2030,13,135,-1923,159,159,158,158,-5519,124,162,-5962,3,-2,-1,8127,0,0,0,-2,0,0,-3,0,1,0,0,0,0,0,0,-5,0,1,3,3,0,0,0,0,0,0,2,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,265,260,266,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
36,13450426,-12,0,0,10000,1528,428,15,-2,-1,13,20,-5,-36,128,-2025,-107,185,-2150,159,160,158,158,-5519,124,162,-5962,4,-3,-1,8127,0,0,0,-2,0,0,-4,0,0,0,0,0,0,0,0,-7,1,0,4,5,0,0,0,0,0,0,2,3,1,1,0,0,0,0,264,260,268,271,0,0,0,0,265,260,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,162,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04999099039632166,0.004687205356084009,1.6480205103379018,0,0,0,"","","",NaN,NaN,NaN,NaN
40,13452442,-12,0,0,10000,1528,428,13,3,2,19,-15,13,-39,125,-2028,-47,186,-2158,160,159,158,158,-5519,124,161,-5962,4,0,-1,8127,0,0,0,-2,0,0,-3,-1,0,0,0,0,0,0,0,-6,-1,-1,5,3,0,0,0,0,0,0,2,3,1,1,0,0,0,0,264,260,268,271,0,0,0,0,265,259,271,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,161,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04981019059819653,0.004520082871193602,1.648011046166933,0,0,0,"","","",NaN,NaN,NaN,NaN
44,13454458,-12,0,0,10000,1528,428,10,8,2,7,11,3,-35,116,-2044,10,129,-2271,160,159,159,158,-5519,124,161,-5962,4,1,0,8127,0,0,0,-2,0,0,-3,-2,-1,0,0,0,0,0,0,-5,-3,-1,6,2,2,0,0,0,0,0,3,3,1,1,0,0,0,0,264,260,268,271,0,0,0,0,265,260,269,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,161,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04981019059819653,0.004520082871193602,1.648011046166933,0,0,0,"","","",NaN,NaN,NaN,NaN
48,13456474,-12,0,0,10000,1528,428,5,10,4,4,3,6,-23,107,-2046,80,77,-1985,160,158,159,158,-5519,124,161,-5962,2,3,0,8127,0,0,0,-2,0,0,-2,-2,-1,0,0,0,0,0,0,-3,-4,-1,5,1,2,0,0,0,0,0,3,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,265,260,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,161,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04981019059819653,0.004520082871193602,1.648011046166933,0,0,0,"","","",NaN,NaN,NaN,NaN
52,13458490,-12,0,0,10000,1528,428,3,11,2,0,21,5,-8,96,-2042,-48,-39,-2059,160,158,159,158,-5519,124,161,-5962,1,3,1,8127,0,0,0,-2,0,0,-1,-3,-1,0,0,0,0,0,0,-2,-5,-1,5,0,3,0,0,0,0,0,3,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,266,260,268,269,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,161,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04981019059819653,0.004520082871193602,1.648011046166933,0,0,0,"","","",NaN,NaN,NaN,NaN
56,13460506,-12,0,0,10000,1528,428,4,7,4,4,-10,6,6,83,-2038,135,171,-1832,159,158,158,158,-5519,124,161,-5962,0,4,1,8127,0,0,0,-2,0,0,-1,-2,-1,0,0,0,0,0,0,-2,-3,-2,4,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,264,260,268,271,0,0,0,0,266,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13410047,1405,-3073,-98,0,0,0,0,0,1,1,2,5,0,0,0,0,0,200,-5511,109,33,-5972,1405,-3073,-95,0,0,1,-5519,124,161,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04981019059819653,0.004520082871193602,1.648011046166933,0,0,0,"","","",NaN,NaN,NaN,NaN
60,13462522,-12,0,0,10000,1528,428,2,1,0,2,-1,-1,10,79,-2030,-96,120,-1966,158,158,158,158,-5519,124,161,-5962,-1,2,1,8127,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,265,260,268,271,0,0,0,0,265,259,271,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-95,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-95,0,0,1,-5519,124,161,-5962,0,-3,63,-3,0,-2,0,0,0,0,1,7,0,1,1,-0.04981019059819653,0.004520082871193602,1.648011046166933,0,0,0,"","","",NaN,NaN,NaN,NaN
64,13464538,-12,0,0,10000,1528,428,6,-2,1,18,-13,4,11,78,-2031,99,263,-2047,159,159,158,158,-5519,124,161,-5963,-2,1,0,8127,0,0,0,-2,0,0,-2,0,0,0,0,0,0,0,0,-3,1,0,3,3,0,0,0,0,0,0,3,2,1,0,0,0,0,0,265,260,268,271,0,0,0,0,268,262,266,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,124,161,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04981506100385799,0.004516328205909894,1.6483581254017599,0,0,0,"","","",NaN,NaN,NaN,NaN
68,13466554,-12,0,0,10000,1528,428,9,-4,-1,7,-2,0,10,83,-2047,-207,154,-1892,159,160,158,158,-5519,124,161,-5963,0,0,0,8127,0,0,0,-2,0,0,-2,1,0,0,0,0,0,0,0,-4,2,0,2,5,0,1,0,0,0,0,3,2,1,0,0,0,0,0,265,260,268,271,0,0,0,0,265,259,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,124,161,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04981506100385799,0.004516328205909894,1.6483581254017599,0,0,0,"","","",NaN,NaN,NaN,NaN
72,13468570,-12,0,0,10000,1528,428,10,-8,-1,29,-16,2,-1,91,-2044,-26,284,-1744,159,160,158,159,-5519,124,161,-5963,-1,-2,0,8127,0,0,0,-2,0,0,-3,2,0,0,0,0,0,0,0,-5,3,0,3,6,0,2,0,0,0,0,3,2,1,0,0,0,0,0,265,260,268,271,0,0,0,0,268,257,269,269,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,124,161,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04981506100385799,0.004516328205909894,1.6483581254017599,0,0,0,"","","",NaN,NaN,NaN,NaN
76,13470586,-12,0,0,10000,1524,307,15,0,-4,20,16,-5,-13,107,-2036,-59,71,-1887,160,160,158,158,-5519,123,161,-5962,1,-3,-1,8127,0,0,0,-2,0,0,-4,0,1,0,0,0,0,0,0,-7,0,2,5,6,0,0,0,0,0,0,3,3,1,1,0,0,0,0,265,260,268,271,0,0,0,0,265,259,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,123,161,-5962,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04964290480336923,0.00470061980856639,1.6480114232033771,0,0,0,"","","",NaN,NaN,NaN,NaN
80,13472602,-12,0,0,10000,1524,307,16,-4,1,15,-17,3,-25,111,-2029,-66,183,-2010,159,160,158,158,-5519,123,161,-5963,2,-2,0,8127,0,0,0,-2,0,0,-4,1,0,0,0,0,0,0,0,-7,2,-1,3,6,0,0,0,0,0,0,3,3,1,0,0,0,0,0,265,260,268,271,0,0,0,0,265,260,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,123,161,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04964777525379845,0.004696895408476322,1.6483585040559157,0,0,0,"","","",NaN,NaN,NaN,NaN
84,13474618,-12,0,0,10000,1524,307,9,2,-3,2,6,-5,-32,119,-2029,-40,10,-1876,159,159,158,158,-5519,123,160,-5962,2,-2,-1,8127,0,0,0,-2,0,0,-2,0,1,0,0,0,0,0,0,-4,-1,1,4,2,0,0,0,0,0,0,3,3,1,0,0,0,0,0,265,260,268,271,0,0,0,0,265,262,268,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,123,160,-5962,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04946210821326042,0.004533497313340166,1.648002013735559,0,0,0,"","","",NaN,NaN,NaN,NaN
88,13476634,-12,0,0,10000,1524,307,8,9,4,3,26,6,-33,113,-2037,-186,175,-2283,160,158,159,158,-5519,123,160,-5963,2,0,0,8127,0,0,0,-2,0,0,-2,-2,-1,0,0,0,0,0,0,-4,-4,-2,6,1,2,0,0,0,0,0,3,3,1,0,0,0,0,0,265,260,268,271,0,0,0,0,265,257,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,123,160,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04946694893748784,0.00452977291612276,1.6483490979578796,0,0,0,"","","",NaN,NaN,NaN,NaN
92,13478650,-12,0,0,10000,1524,307,7,10,2,-4,17,4,-21,110,-2055,-176,104,-2135,160,159,159,158,-5519,123,160,-5963,2,1,0,8127,0,0,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-4,-4,-1,6,1,3,0,0,0,0,0,3,3,1,0,0,0,0,0,265,260,268,271,0,0,0,0,265,260,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,123,160,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04946694893748784,0.00452977291612276,1.6483490979578796,0,0,0,"","","",NaN,NaN,NaN,NaN
96,13480666,-12,0,0,10000,1524,307,4,9,7,-4,6,14,-11,95,-2055,-90,224,-2153,160,158,158,158,-5519,123,160,-5963,0,2,1,8127,0,0,0,-2,0,0,-1,-2,-2,0,0,0,0,0,0,-2,-4,-3,5,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,265,260,268,271,0,0,0,0,266,260,266,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,1,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,1,-5519,123,160,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04946694893748784,0.00452977291612276,1.6483490979578796,0,0,0,"","","",NaN,NaN,NaN,NaN
100,13482682,-12,0,0,10000,1524,307,0,3,0,1,-15,6,4,87,-2042,73,-14,-2122,159,158,158,158,-5519,123,160,-5963,-2,3,0,8127,0,0,0,-2,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,2,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,265,260,268,271,0,0,0,0,266,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,0,-5519,123,160,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04946694893748784,0.00452977291612276,1.6483490979578796,0,0,0,"","","",NaN,NaN,NaN,NaN
104,13484698,-12,0,0,10000,1524,307,3,9,3,2,2,3,13,75,-2034,94,179,-1787,160,158,159,158,-5519,123,160,-5963,-2,3,1,8127,0,0,0,-2,0,0,-1,-2,-1,0,0,0,0,0,0,-2,-4,-1,4,0,2,0,0,0,0,0,3,2,1,0,0,0,0,0,265,260,268,271,0,0,0,0,266,260,268,269,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,0,-5519,123,160,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04946694893748784,0.00452977291612276,1.6483490979578796,0,0,0,"","","",NaN,NaN,NaN,NaN
108,13486714,-12,0,0,10000,1524,307,-3,0,-1,0,4,-5,16,75,-2028,14,49,-1819,158,158,158,158,-5519,123,160,-5963,-4,1,1,8127,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,265,260,268,271,0,0,0,0,265,260,268,268,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-96,13460195,1405,-3073,-98,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,200,-5504,121,15,-5978,1405,-3073,-96,0,0,0,-5519,123,160,-5963,0,-3,64,-2,1,-3,0,0,0,0,1,7,0,1,1,-0.04946694893748784,0.00452977291612276,1.6483490979578796,0,0,0,"","","",NaN,NaN,NaN,NaN
